Name,Type,Episodes,Studio,Tags,Rating,Release_year
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,TV,,ufotable,"Action, Adventure, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Explicit Violence",4.6,2021.0
Fruits Basket the Final Season,TV,13.0,TMS Entertainment,"Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Mental Illness, Orphans, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Suicide,, Violence,, Domestic Abuse",4.6,2021.0
Mo Dao Zu Shi 3,Web,12.0,B.C MAY PICTURES,"Fantasy, Ancient China, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel",4.58,2021.0
Fullmetal Alchemist: Brotherhood,TV,64.0,Bones,"Action, Adventure, Drama, Fantasy, Mystery, Shounen, Conspiracy, Death of a Loved One, Military, Siblings, Based on a Manga, Animal Abuse,, Mature Themes,, Violence,, Domestic Abuse",4.58,2009.0
Attack on Titan 3rd Season: Part II,TV,10.0,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence",4.57,2019.0
Jujutsu Kaisen,TV,24.0,MAPPA,"Action, Horror, Shounen, Curse, Exorcists, Monsters, School Life, Supernatural, Based on a Manga, Explicit Violence",4.56,2020.0
Attack on Titan The Final Season: Part II,TV,,MAPPA,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga",4.56,2022.0
Attack on Titan The Final Season,TV,16.0,MAPPA,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga, Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide",4.55,2020.0
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Movie,,ufotable,"Action, Drama, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence",4.54,2020.0
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV,10.0,Production I.G,"Shounen, Sports, Animeism, School Club, School Life, Tournaments, Volleyball, Based on a Manga",4.53,2016.0
your name.,Movie,,CoMix Wave Films,"Drama, Romance, Body Swapping, Gender Bender, Opposites Attract, School Life, Supernatural, Original Work",4.51,2016.0
